Date,Store ID,Product ID,Customer Segments,Sales Quantity,Demand Trend,Price,External Factors,Promotions,Seasonality Factors
1/1/22,S001,P0001,Groceries,127,Increasing,33.5,Rainy,No,Autumn
1/1/22,S001,P0002,Toys,150,Increasing,63.01,Sunny,No,Autumn
1/1/22,S001,P0003,Toys,65,Increasing,27.99,Sunny,Yes,Summer
1/1/22,S001,P0004,Toys,61,Increasing,32.72,Cloudy,Yes,Autumn
1/1/22,S001,P0005,Electronics,14,Stable,73.64,Sunny,No,Summer
1/1/22,S001,P0006,Groceries,128,Increasing,76.83,Sunny,Yes,Winter
1/1/22,S001,P0007,Furniture,97,Increasing,34.16,Rainy,Yes,Winter
1/1/22,S001,P0008,Clothing,312,Increasing,97.99,Cloudy,No,Spring
1/1/22,S001,P0009,Electronics,175,Increasing,20.74,Cloudy,No,Autumn
1/1/22,S001,P0010,Toys,28,Stable,59.99,Rainy,Yes,Winter
1/1/22,S001,P0011,Furniture,150,Increasing,58.53,Sunny,Yes,Spring
1/1/22,S001,P0012,Clothing,24,Stable,58.25,Snowy,No,Spring
1/1/22,S001,P0013,Toys,42,Stable,43.6,Cloudy,No,Spring
1/1/22,S001,P0014,Clothing,12,Stable,78.11,Sunny,No,Spring
1/1/22,S001,P0015,Clothing,369,Increasing,92.99,Snowy,No,Winter
1/1/22,S001,P0016,Electronics,255,Increasing,21.9,Cloudy,Yes,Autumn
1/1/22,S001,P0017,Toys,246,Increasing,21.07,Sunny,No,Winter
1/1/22,S001,P0018,Clothing,151,Increasing,19.57,Cloudy,No,Autumn
1/1/22,S001,P0019,Clothing,257,Increasing,73.28,Cloudy,No,Winter
1/1/22,S001,P0020,Toys,99,Increasing,30.24,Cloudy,No,Spring
1/1/22,S002,P0001,Groceries,104,Increasing,32.8,Sunny,Yes,Spring
1/1/22,S002,P0002,Clothing,141,Increasing,46.16,Rainy,Yes,Winter
1/1/22,S002,P0003,Furniture,182,Increasing,20.46,Snowy,Yes,Spring
1/1/22,S002,P0004,Toys,63,Increasing,26.19,Cloudy,No,Autumn
1/1/22,S002,P0005,Toys,156,Increasing,83.29,Rainy,No,Autumn
1/1/22,S002,P0006,Furniture,250,Increasing,85.59,Cloudy,No,Winter
1/1/22,S002,P0007,Groceries,393,Increasing,91.13,Sunny,No,Summer
1/1/22,S002,P0008,Electronics,29,Stable,66.96,Snowy,No,Summer
1/1/22,S002,P0009,Clothing,9,Stable,81.29,Rainy,Yes,Winter
1/1/22,S002,P0010,Electronics,126,Increasing,60.84,Snowy,Yes,Winter
1/1/22,S002,P0011,Groceries,13,Stable,34.62,Snowy,Yes,Autumn
1/1/22,S002,P0012,Groceries,25,Stable,19.56,Rainy,Yes,Winter
1/1/22,S002,P0013,Clothing,283,Increasing,57.78,Cloudy,No,Spring
1/1/22,S002,P0014,Electronics,359,Increasing,91.28,Cloudy,No,Summer
1/1/22,S002,P0015,Toys,129,Increasing,59.9,Sunny,Yes,Winter
1/1/22,S002,P0016,Toys,63,Increasing,45.65,Rainy,Yes,Spring
1/1/22,S002,P0017,Groceries,373,Increasing,11.71,Cloudy,Yes,Winter
1/1/22,S002,P0018,Groceries,160,Increasing,58.84,Cloudy,No,Summer
1/1/22,S002,P0019,Toys,15,Stable,84.99,Sunny,Yes,Winter
1/1/22,S002,P0020,Toys,101,Increasing,87.1,Rainy,Yes,Spring
1/1/22,S003,P0001,Toys,147,Increasing,67.21,Sunny,Yes,Summer
1/1/22,S003,P0002,Electronics,4,Stable,28.2,Sunny,Yes,Spring
1/1/22,S003,P0003,Groceries,77,Increasing,56.16,Sunny,Yes,Spring
1/1/22,S003,P0004,Toys,31,Stable,89.53,Rainy,Yes,Winter
1/1/22,S003,P0005,Clothing,325,Increasing,97.95,Sunny,No,Winter
1/1/22,S003,P0006,Groceries,163,Increasing,76.37,Rainy,Yes,Summer
1/1/22,S003,P0007,Electronics,34,Stable,86.99,Rainy,Yes,Summer
1/1/22,S003,P0008,Toys,47,Stable,66.53,Cloudy,Yes,Spring
1/1/22,S003,P0009,Groceries,15,Stable,74.86,Snowy,Yes,Winter
1/1/22,S003,P0010,Groceries,126,Increasing,97.09,Rainy,Yes,Summer
1/1/22,S003,P0011,Toys,232,Increasing,56.19,Snowy,Yes,Winter
1/1/22,S003,P0012,Electronics,175,Increasing,90.38,Cloudy,No,Summer
1/1/22,S003,P0013,Furniture,17,Stable,73.98,Cloudy,Yes,Summer
1/1/22,S003,P0014,Electronics,369,Increasing,79.03,Rainy,No,Spring
1/1/22,S003,P0015,Clothing,260,Increasing,27.72,Snowy,No,Autumn
1/1/22,S003,P0016,Groceries,347,Increasing,98.18,Rainy,No,Winter
